Date,Min,Max,Min,Max,Min,Max
11/30/19,14.3 °C,41.6 °C,11.8 %RH,44.9 %RH,-3.6 °C,8.8 °C
12/1/19,15.6 °C,44.2 °C,9.4 %RH,28.4 %RH,-3.2 °C,6.6 °C
12/2/19,18.3 °C,52.5 °C,10.8 %RH,38.7 %RH,1.6 °C,10.6 °C
12/3/19,21.9 °C,59.1 °C,7.9 %RH,35.0 %RH,3.0 °C,7.9 °C
12/4/19,20.1 °C,60.2 °C,7.7 %RH,30.5 %RH,1.5 °C,8.7 °C
12/5/19,20.5 °C,58.6 °C,8.4 %RH,35.5 %RH,4.7 °C,15.2 °C
12/6/19,24.3 °C,59.8 °C,8.7 %RH,36.6 %RH,5.8 °C,11.4 °C
12/7/19,17.5 °C,51.7 °C,8.9 %RH,67.6 %RH,7.6 °C,14.5 °C
12/8/19,12.8 °C,44.6 °C,15.5 %RH,75.6 %RH,4.5 °C,14.2 °C
12/9/19,14.5 °C,46.7 °C,12.6 %RH,77.4 %RH,1.0 °C,13.3 °C
12/10/19,19.1 °C,54.3 °C,10.1 %RH,33.3 %RH,-2.2 °C,9.6 °C
12/11/19,23.6 °C,53.1 °C,10.1 %RH,30.2 %RH,-0.4 °C,11.7 °C
12/12/19,24.3 °C,53.4 °C,11.3 %RH,40.4 %RH,0.8 °C,11.2 °C
12/13/19,23.1 °C,57.6 °C,7.4 %RH,20.7 %RH,-6.0 °C,5.8 °C
12/14/19,17.7 °C,59.5 °C,6.7 %RH,18.6 %RH,-6.9 °C,6.0 °C
12/15/19,22.9 °C,57.0 °C,8.4 %RH,34.4 %RH,-1.2 °C,11.2 °C
12/16/19,20.2 °C,52.6 °C,13.0 %RH,64.3 %RH,9.4 °C,17.8 °C
12/17/19,20.1 °C,53.7 °C,10.8 %RH,62.8 %RH,8.2 °C,15.5 °C
12/18/19,20.0 °C,56.6 °C,12.3 %RH,65.5 %RH,7.5 °C,16.0 °C
12/19/19,18.2 °C,42.1 °C,24.8 %RH,76.8 %RH,9.9 °C,21.4 °C
12/20/19,11.9 °C,46.4 °C,13.3 %RH,72.0 %RH,1.4 °C,13.7 °C
12/21/19,16.3 °C,55.0 °C,8.7 %RH,68.2 %RH,8.2 °C,11.4 °C
12/22/19,18.8 °C,52.2 °C,12.6 %RH,81.7 %RH,7.3 °C,17.8 °C
12/23/19,17.5 °C,55.9 °C,12.1 %RH,81.7 %RH,10.2 °C,17.5 °C
12/24/19,18.6 °C,56.4 °C,10.1 %RH,81.4 %RH,8.1 °C,16.3 °C
12/25/19,25.1 °C,49.2 °C,16.7 %RH,50.0 %RH,8.4 °C,17.8 °C
12/26/19,20.4 °C,60.3 °C,11.8 %RH,44.1 %RH,7.7 °C,17.8 °C
12/27/19,18.2 °C,50.9 °C,10.8 %RH,85.8 %RH,6.5 °C,16.3 °C
12/28/19,16.0 °C,53.7 °C,6.9 %RH,82.1 %RH,-1.7 °C,13.6 °C
12/29/19,16.3 °C,49.7 °C,12.3 %RH,86.1 %RH,7.9 °C,15.9 °C
12/30/19,16.9 °C,47.5 °C,14.3 %RH,83.6 %RH,3.8 °C,14.8 °C
12/31/19,14.3 °C,50.9 °C,8.2 %RH,72.3 %RH,-1.5 °C,10.4 °C
1/1/20,18.1 °C,57.6 °C,7.9 %RH,54.2 %RH,3.0 °C,11.3 °C
1/2/20,16.9 °C,47.9 °C,15.2 %RH,87.3 %RH,9.7 °C,16.9 °C
1/3/20,14.2 °C,41.0 °C,15.0 %RH,88.8 %RH,1.8 °C,13.6 °C
1/4/20,13.5 °C,42.0 °C,13.8 %RH,59.6 %RH,1.8 °C,9.9 °C
1/5/20,18.2 °C,51.0 °C,11.8 %RH,34.4 %RH,0.7 °C,14.1 °C
1/6/20,19.2 °C,57.4 °C,9.1 %RH,40.6 %RH,5.1 °C,9.8 °C
1/7/20,19.2 °C,58.1 °C,8.7 %RH,39.8 %RH,2.7 °C,10.9 °C
1/8/20,18.1 °C,55.2 °C,10.6 %RH,61.1 %RH,4.5 °C,12.4 °C
1/9/20,17.6 °C,47.4 °C,16.0 %RH,80.8 %RH,8.0 °C,15.9 °C
1/10/20,18.4 °C,47.0 °C,9.4 %RH,56.8 %RH,-1.2 °C,11.8 °C
1/11/20,20.3 °C,48.7 °C,17.4 %RH,42.0 %RH,-0.8 °C,17.6 °C
1/12/20,22.8 °C,53.3 °C,14.7 %RH,53.1 %RH,6.1 °C,17.2 °C
1/13/2020,21.8 °C,55.4 °C,15.2 %RH,59.0 %RH,9.3 °C,17.6 °C
1/14/2020,26.9 °C,59.0 °C,16.0 %RH,59.0 %RH,10.0 °C,21.5 °C
1/15/2020,26.9 °C,56.0 °C,19.2 %RH,67.0 %RH,15.1 °C,23.0 °C
1/16/2020,26.4 °C,53.6 °C,18.9 %RH,75.0 %RH,14.6 °C,24.1 °C
1/17/2020,23.0 °C,52.7 °C,17.2 %RH,67.0 %RH,12.8 °C,19.3 °C
1/18/2020,19.9 °C,49.2 °C,20.4 %RH,83.9 %RH,10.9 °C,21.4 °C
1/19/2020,21.0 °C,48.3 °C,18.2 %RH,60.2 %RH,8.7 °C,18.1 °C
1/20/2020,22.2 °C,56.0 °C,13.8 %RH,44.9 %RH,7.5 °C,16.7 °C
1/21/2020,17.5 °C,47.2 °C,16.5 %RH,85.1 %RH,9.6 °C,16.0 °C
1/22/2020,15.4 °C,44.6 °C,13.5 %RH,79.0 %RH,6.5 °C,12.9 °C
1/23/2020,16.4 °C,47.1 °C,17.2 %RH,84.5 %RH,7.3 °C,16.6 °C
1/24/2020,15.6 °C,52.8 °C,10.6 %RH,77.1 %RH,0.1 °C,14.4 °C
1/25/2020,18.8 °C,56.6 °C,6.7 %RH,49.2 %RH,-2.4 °C,8.9 °C
1/26/2020,19.1 °C,57.2 °C,7.9 %RH,55.9 %RH,2.6 °C,11.5 °C
1/27/2020,23.5 °C,60.4 °C,7.9 %RH,43.6 %RH,4.4 °C,12.8 °C
1/28/2020,23.1 °C,59.4 °C,8.7 %RH,32.0 %RH,3.5 °C,10.2 °C
1/29/2020,18.7 °C,50.7 °C,11.3 %RH,87.0 %RH,8.4 °C,17.0 °C
1/30/2020,17.5 °C,42.9 °C,17.9 %RH,100.0 %RH,6.3 °C,19.5 °C
1/31/2020,12.4 °C,41.8 °C,14.7 %RH,79.3 %RH,1.6 °C,10.2 °C
2/1/20,14.1 °C,44.6 °C,13.0 %RH,62.5 %RH,1.9 °C,11.3 °C
2/2/20,21.3 °C,47.3 °C,12.3 %RH,29.7 %RH,2.4 °C,11.2 °C
2/3/20,26.1 °C,52.3 °C,10.1 %RH,30.7 %RH,3.6 °C,14.2 °C
2/4/20,26.9 °C,57.3 °C,9.6 %RH,36.9 %RH,5.9 °C,19.3 °C
2/5/20,22.5 °C,56.5 °C,9.1 %RH,50.6 %RH,5.9 °C,15.3 °C
2/6/20,22.7 °C,57.2 °C,10.8 %RH,66.7 %RH,7.0 °C,18.4 °C
2/7/20,20.7 °C,54.8 °C,13.0 %RH,79.9 %RH,12.3 °C,18.6 °C
2/8/20,23.7 °C,56.7 °C,12.3 %RH,62.2 %RH,12.1 °C,16.8 °C
2/9/20,18.8 °C,44.8 °C,18.6 %RH,76.2 %RH,2.3 °C,16.2 °C
2/10/20,19.6 °C,45.7 °C,15.7 %RH,42.8 %RH,0.8 °C,13.7 °C
2/11/20,22.6 °C,37.4 °C,30.7 %RH,69.6 %RH,8.6 °C,20.1 °C
2/12/20,18.8 °C,47.3 °C,17.9 %RH,85.1 %RH,12.4 °C,20.7 °C
2/13/2020,25.7 °C,48.1 °C,23.3 %RH,91.3 %RH,12.9 °C,29.9 °C
2/14/2020,21.4 °C,50.7 °C,16.7 %RH,81.7 %RH,15.6 °C,21.4 °C
2/15/2020,21.5 °C,48.8 °C,20.4 %RH,87.9 %RH,14.1 °C,22.2 °C
2/16/2020,19.0 °C,43.2 °C,17.9 %RH,85.1 %RH,6.6 °C,17.1 °C
2/17/2020,16.9 °C,43.9 °C,16.7 %RH,89.2 %RH,6.9 °C,17.2 °C
2/18/2020,22.1 °C,44.4 °C,19.4 %RH,99.7 %RH,7.8 °C,22.3 °C
2/19/2020,21.0 °C,43.3 °C,26.6 %RH,100.0 %RH,15.5 °C,24.9 °C
2/20/2020,20.6 °C,39.8 °C,36.3 %RH,100.0 %RH,17.4 °C,23.3 °C
2/21/2020,19.4 °C,40.5 °C,28.1 %RH,100.0 %RH,16.8 °C,19.9 °C
2/22/2020,19.3 °C,23.7 °C,77.7 %RH,100.0 %RH,19.0 °C,23.0 °C
2/23/2020,18.3 °C,38.7 °C,52.8 %RH,100.0 %RH,18.3 °C,28.2 °C
2/24/2020,21.1 °C,44.5 °C,35.0 %RH,100.0 %RH,20.8 °C,28.3 °C
2/25/2020,21.5 °C,43.8 °C,31.7 %RH,100.0 %RH,19.5 °C,25.4 °C
2/26/2020,21.4 °C,27.4 °C,83.0 %RH,100.0 %RH,20.0 °C,24.8 °C
2/27/2020,21.1 °C,36.4 °C,40.4 %RH,100.0 %RH,19.3 °C,26.5 °C
2/28/2020,20.5 °C,42.2 °C,38.5 %RH,100.0 %RH,20.1 °C,26.3 °C
2/29/2020,20.7 °C,38.0 °C,42.0 %RH,100.0 %RH,17.1 °C,29.6 °C
3/1/20,17.8 °C,37.5 °C,33.9 %RH,100.0 %RH,14.3 °C,21.7 °C
3/2/20,19.1 °C,34.0 °C,36.0 %RH,84.5 %RH,14.5 °C,17.9 °C
3/3/20,18.2 °C,44.2 °C,20.7 %RH,66.7 %RH,8.2 °C,16.8 °C
3/4/20,18.7 °C,47.4 °C,14.5 %RH,48.3 %RH,6.8 °C,14.6 °C
3/5/20,20.1 °C,48.4 °C,13.0 %RH,62.0 %RH,5.1 °C,15.5 °C
3/6/20,17.8 °C,40.8 °C,27.6 %RH,93.9 %RH,13.5 °C,18.5 °C
3/7/20,15.3 °C,39.4 °C,29.7 %RH,97.4 %RH,13.0 °C,19.0 °C
3/8/20,17.4 °C,45.4 °C,18.9 %RH,94.9 %RH,8.3 °C,21.5 °C
3/9/20,20.3 °C,46.9 °C,17.4 %RH,86.1 %RH,9.5 °C,18.7 °C
3/10/20,21.6 °C,49.4 °C,16.7 %RH,48.0 %RH,9.2 °C,17.6 °C
3/11/20,21.8 °C,51.5 °C,12.6 %RH,48.3 %RH,5.8 °C,15.4 °C
3/12/20,17.9 °C,46.7 °C,18.2 %RH,97.1 %RH,6.9 °C,19.6 °C
3/13/2020,22.7 °C,30.1 °C,41.4 %RH,66.7 %RH,14.6 °C,17.1 °C
3/14/2020,20.2 °C,33.1 °C,43.9 %RH,100.0 %RH,14.3 °C,23.1 °C
3/15/2020,19.5 °C,35.9 °C,38.5 %RH,100.0 %RH,18.6 °C,24.9 °C
3/16/2020,17.2 °C,36.4 °C,35.0 %RH,100.0 %RH,15.1 °C,21.1 °C
3/17/2020,17.9 °C,25.3 °C,59.9 %RH,93.9 %RH,15.7 °C,19.0 °C
3/18/2020,13.0 °C,36.8 °C,22.2 %RH,100.0 %RH,6.6 °C,17.9 °C
3/19/2020,15.3 °C,40.3 °C,17.2 %RH,69.1 %RH,6.2 °C,12.7 °C
3/20/2020,17.8 °C,42.2 °C,28.7 %RH,86.7 %RH,9.6 °C,20.7 °C
3/21/2020,19.8 °C,48.4 °C,18.2 %RH,87.0 %RH,15.1 °C,20.0 °C
3/22/2020,18.4 °C,40.7 °C,25.8 %RH,87.9 %RH,11.9 °C,19.2 °C
3/23/2020,19.2 °C,42.2 °C,22.2 %RH,78.7 %RH,10.6 °C,19.5 °C
3/24/2020,20.0 °C,44.1 °C,21.5 %RH,69.1 %RH,9.0 °C,19.1 °C
3/25/2020,22.0 °C,40.7 °C,20.7 %RH,56.8 %RH,8.9 °C,13.8 °C
3/26/2020,20.2 °C,46.9 °C,17.2 %RH,55.1 %RH,10.6 °C,16.0 °C
3/27/2020,19.5 °C,46.2 °C,26.6 %RH,82.4 %RH,11.3 °C,22.5 °C
3/28/2020,16.7 °C,30.4 °C,44.7 %RH,100.0 %RH,11.4 °C,22.2 °C
3/29/2020,15.0 °C,35.0 °C,24.0 %RH,78.7 %RH,5.6 °C,13.3 °C
3/30/2020,12.1 °C,38.4 °C,17.7 %RH,82.7 %RH,5.3 °C,11.8 °C
3/31/2020,12.2 °C,35.9 °C,21.7 %RH,86.1 %RH,6.0 °C,12.4 °C
4/1/20,14.2 °C,37.5 °C,22.0 %RH,87.3 %RH,8.8 °C,13.4 °C
4/2/20,17.5 °C,32.3 °C,29.2 %RH,89.5 %RH,9.1 °C,16.8 °C
4/3/20,12.2 °C,32.7 °C,23.8 %RH,93.9 %RH,2.8 °C,13.0 °C
4/4/20,12.6 °C,36.4 °C,16.9 %RH,50.8 %RH,2.1 °C,8.6 °C
4/5/20,17.7 °C,34.3 °C,20.2 %RH,56.2 %RH,1.4 °C,10.8 °C
4/6/20,13.3 °C,40.9 °C,16.5 %RH,54.8 %RH,2.8 °C,10.8 °C
4/7/20,18.7 °C,40.2 °C,21.0 %RH,70.2 %RH,8.2 °C,16.0 °C
4/8/20,19.5 °C,42.1 °C,19.9 %RH,52.5 %RH,8.6 °C,17.2 °C
4/9/20,17.1 °C,42.6 °C,18.4 %RH,57.1 %RH,8.3 °C,16.0 °C
4/10/20,17.4 °C,42.5 °C,14.5 %RH,58.8 %RH,4.8 °C,12.9 °C
4/11/20,17.2 °C,43.0 °C,12.3 %RH,44.1 %RH,2.5 °C,9.5 °C
4/12/20,17.0 °C,39.6 °C,30.2 %RH,79.6 %RH,5.3 °C,20.8 °C
4/13/2020,19.3 °C,36.7 °C,30.7 %RH,92.0 %RH,12.9 °C,20.6 °C
4/14/2020,16.6 °C,35.7 °C,27.4 %RH,81.1 %RH,11.2 °C,15.5 °C
4/15/2020,14.2 °C,29.8 °C,27.4 %RH,86.1 %RH,6.7 °C,13.6 °C
4/16/2020,12.0 °C,33.4 °C,18.4 %RH,93.3 %RH,2.5 °C,13.7 °C
4/17/2020,17.4 °C,39.8 °C,15.5 %RH,100.0 %RH,5.6 °C,21.1 °C
4/18/2020,20.3 °C,39.3 °C,22.0 %RH,96.5 %RH,6.3 °C,20.3 °C
4/19/2020,14.8 °C,28.4 °C,46.3 %RH,100.0 %RH,12.1 °C,22.8 °C
4/20/2020,8.7 °C,31.5 °C,29.4 %RH,96.8 %RH,8.1 °C,16.6 °C
4/21/2020,8.7 °C,32.9 °C,26.6 %RH,94.2 %RH,5.6 °C,15.8 °C
4/22/2020,11.1 °C,34.4 °C,31.5 %RH,87.3 %RH,8.7 °C,16.7 °C
4/23/2020,12.1 °C,34.3 °C,29.9 %RH,89.5 %RH,9.5 °C,17.5 °C
4/24/2020,15.2 °C,30.5 °C,36.0 %RH,80.5 %RH,8.5 °C,15.1 °C
4/25/2020,15.7 °C,22.5 °C,72.9 %RH,100.0 %RH,14.1 °C,20.5 °C
4/26/2020,11.9 °C,33.6 °C,37.4 %RH,100.0 %RH,11.7 °C,18.8 °C
4/27/2020,15.9 °C,29.7 °C,34.7 %RH,89.5 %RH,11.4 °C,14.8 °C
4/28/2020,8.5 °C,26.6 °C,42.5 %RH,98.7 %RH,4.4 °C,15.7 °C
4/29/2020,8.4 °C,27.4 °C,21.7 %RH,68.5 %RH,0.9 °C,5.5 °C
4/30/2020,9.3 °C,28.5 °C,22.8 %RH,61.1 %RH,0.6 °C,5.2 °C
5/1/20,8.9 °C,31.2 °C,19.2 %RH,63.7 %RH,-2.0 °C,5.7 °C
5/2/20,9.5 °C,34.6 °C,15.2 %RH,55.4 %RH,-0.8 °C,5.3 °C
5/3/20,12.8 °C,36.4 °C,13.0 %RH,38.2 %RH,-1.1 °C,5.1 °C
5/4/20,9.9 °C,31.7 °C,40.1 %RH,79.9 %RH,0.6 °C,17.5 °C
5/5/20,15.3 °C,22.4 °C,72.3 %RH,100.0 %RH,13.1 °C,22.4 °C
5/6/20,10.0 °C,22.8 °C,48.0 %RH,100.0 %RH,9.5 °C,15.2 °C
5/7/20,5.3 °C,22.4 °C,51.7 %RH,100.0 %RH,5.3 °C,14.8 °C
5/8/20,8.0 °C,24.2 °C,51.4 %RH,100.0 %RH,8.0 °C,17.4 °C
5/9/20,5.6 °C,23.7 °C,37.1 %RH,97.1 %RH,4.8 °C,8.8 °C
5/10/20,10.1 °C,31.4 °C,23.0 %RH,78.3 %RH,5.4 °C,9.6 °C
5/11/20,9.5 °C,31.6 °C,20.7 %RH,87.6 %RH,3.1 °C,10.2 °C
5/12/20,8.7 °C,30.3 °C,28.9 %RH,76.8 %RH,4.8 °C,10.2 °C
5/13/2020,11.8 °C,31.5 °C,17.9 %RH,66.4 %RH,1.5 °C,7.1 °C
5/14/2020,10.0 °C,33.2 °C,14.0 %RH,53.7 %RH,-1.3 °C,3.3 °C
5/15/2020,8.3 °C,33.9 °C,13.8 %RH,78.0 %RH,-2.0 °C,11.9 °C
5/16/2020,9.0 °C,31.8 °C,19.4 %RH,100.0 %RH,1.2 °C,13.1 °C
5/17/2020,11.0 °C,33.8 °C,14.3 %RH,73.5 %RH,-0.6 °C,10.1 °C
5/18/2020,8.6 °C,25.2 °C,36.3 %RH,97.1 %RH,2.6 °C,10.2 °C
5/19/2020,6.2 °C,23.9 °C,28.4 %RH,78.0 %RH,1.3 °C,6.5 °C
5/20/2020,6.4 °C,25.5 °C,24.5 %RH,74.1 %RH,1.7 °C,5.5 °C
5/21/2020,7.0 °C,27.5 °C,26.6 %RH,83.9 %RH,0.2 °C,9.0 °C
5/22/2020,7.8 °C,29.5 °C,22.8 %RH,72.0 %RH,-0.9 °C,8.4 °C
5/23/2020,8.6 °C,30.0 °C,16.5 %RH,63.4 %RH,-2.0 °C,5.6 °C
5/24/2020,12.3 °C,22.1 °C,22.8 %RH,100.0 %RH,-0.2 °C,14.1 °C
5/25/2020,10.1 °C,21.3 °C,90.1 %RH,100.0 %RH,10.1 °C,20.0 °C
5/26/2020,7.5 °C,21.5 °C,67.9 %RH,100.0 %RH,7.5 °C,16.9 °C
5/27/2020,7.9 °C,21.9 °C,76.2 %RH,100.0 %RH,7.9 °C,17.6 °C
5/28/2020,6.5 °C,23.5 °C,57.4 %RH,100.0 %RH,6.5 °C,17.6 °C
5/29/2020,9.6 °C,22.9 °C,57.9 %RH,100.0 %RH,9.6 °C,16.5 °C
5/30/2020,7.1 °C,20.3 °C,69.1 %RH,100.0 %RH,7.1 °C,16.4 °C
5/31/2020,8.3 °C,21.8 °C,70.8 %RH,100.0 %RH,8.3 °C,17.7 °C
6/1/20,7.4 °C,25.4 °C,55.1 %RH,100.0 %RH,7.4 °C,18.1 °C
6/2/20,7.4 °C,25.3 °C,43.6 %RH,100.0 %RH,7.4 °C,14.1 °C
6/3/20,10.5 °C,27.6 °C,36.9 %RH,91.3 %RH,8.9 °C,12.4 °C
6/4/20,8.6 °C,29.9 °C,27.9 %RH,99.0 %RH,6.2 °C,14.2 °C
6/5/20,8.3 °C,31.1 °C,24.8 %RH,94.2 %RH,6.5 °C,12.0 °C
6/6/20,11.0 °C,29.0 °C,22.8 %RH,74.7 %RH,5.0 °C,8.2 °C
6/7/20,11.7 °C,27.4 °C,23.0 %RH,68.2 %RH,3.2 °C,6.5 °C
6/8/20,8.8 °C,28.3 °C,21.5 %RH,63.1 %RH,2.0 °C,6.6 °C
6/9/20,7.5 °C,28.8 °C,18.6 %RH,67.9 %RH,0.4 °C,5.5 °C
6/10/20,8.0 °C,29.7 °C,19.9 %RH,62.2 %RH,-0.3 °C,7.1 °C
6/11/20,12.8 °C,25.0 °C,57.1 %RH,100.0 %RH,5.7 °C,19.7 °C
6/12/20,7.5 °C,20.5 °C,72.6 %RH,100.0 %RH,7.5 °C,19.0 °C
6/13/2020,4.8 °C,23.7 °C,46.9 %RH,100.0 %RH,4.8 °C,13.7 °C
6/14/2020,6.7 °C,26.7 °C,42.2 %RH,100.0 %RH,6.7 °C,14.3 °C
6/15/2020,6.9 °C,26.1 °C,40.4 %RH,100.0 %RH,5.9 °C,14.2 °C
6/16/2020,6.9 °C,25.9 °C,23.5 %RH,100.0 %RH,-0.7 °C,10.2 °C
6/17/2020,7.5 °C,28.4 °C,29.2 %RH,100.0 %RH,-1.8 °C,17.0 °C
6/18/2020,7.5 °C,18.9 °C,74.1 %RH,100.0 %RH,7.5 °C,17.0 °C
6/19/2020,3.6 °C,20.9 °C,55.9 %RH,100.0 %RH,3.6 °C,14.9 °C
6/20/2020,4.4 °C,23.5 °C,43.9 %RH,100.0 %RH,4.4 °C,10.8 °C
6/21/2020,5.5 °C,26.8 °C,35.5 %RH,100.0 %RH,5.5 °C,10.2 °C
6/22/2020,10.4 °C,26.6 °C,25.1 %RH,100.0 %RH,1.5 °C,15.1 °C
6/23/2020,10.3 °C,21.4 °C,76.2 %RH,100.0 %RH,10.3 °C,19.1 °C
6/24/2020,7.7 °C,21.7 °C,64.0 %RH,100.0 %RH,7.7 °C,18.3 °C
6/25/2020,7.5 °C,24.9 °C,46.3 %RH,100.0 %RH,7.5 °C,13.6 °C
6/26/2020,5.8 °C,25.1 °C,55.7 %RH,100.0 %RH,5.8 °C,16.6 °C
6/27/2020,8.3 °C,23.9 °C,69.1 %RH,100.0 %RH,8.3 °C,20.2 °C
6/28/2020,11.6 °C,24.2 °C,59.6 %RH,100.0 %RH,11.6 °C,19.4 °C
6/29/2020,11.8 °C,19.5 °C,80.5 %RH,100.0 %RH,11.8 °C,17.4 °C
6/30/2020,10.3 °C,22.3 °C,73.5 %RH,100.0 %RH,10.3 °C,17.7 °C
7/1/20,9.5 °C,21.1 °C,59.0 %RH,100.0 %RH,9.5 °C,14.8 °C
7/2/20,6.0 °C,23.4 °C,42.5 %RH,100.0 %RH,6.0 °C,11.4 °C
7/3/20,5.7 °C,25.5 °C,32.0 %RH,100.0 %RH,4.4 °C,8.6 °C
7/4/20,8.2 °C,27.9 °C,25.1 %RH,74.7 %RH,3.1 °C,7.9 °C
7/5/20,5.0 °C,32.4 °C,18.6 %RH,90.4 %RH,2.5 °C,11.2 °C
7/6/20,9.4 °C,26.3 °C,42.8 %RH,100.0 %RH,9.1 °C,15.3 °C
7/7/20,5.5 °C,22.4 °C,41.7 %RH,100.0 %RH,5.5 °C,11.7 °C
7/8/20,4.9 °C,25.4 °C,48.0 %RH,100.0 %RH,4.9 °C,13.7 °C
7/9/20,1.9 °C,26.3 °C,41.4 %RH,100.0 %RH,1.9 °C,12.4 °C
7/10/20,3.6 °C,23.1 °C,39.0 %RH,100.0 %RH,2.9 °C,10.5 °C
7/11/20,3.2 °C,25.4 °C,24.8 %RH,98.7 %RH,0.5 °C,6.4 °C
7/12/20,5.0 °C,26.8 °C,16.7 %RH,67.3 %RH,-5.3 °C,1.4 °C
7/13/2020,4.6 °C,30.5 °C,21.2 %RH,99.7 %RH,-5.6 °C,14.7 °C
7/14/2020,9.3 °C,19.7 °C,66.1 %RH,100.0 %RH,9.3 °C,16.8 °C
7/15/2020,3.9 °C,25.8 °C,44.1 %RH,100.0 %RH,3.9 °C,13.1 °C
7/16/2020,6.0 °C,22.2 °C,61.1 %RH,100.0 %RH,6.0 °C,16.3 °C
7/17/2020,5.1 °C,17.5 °C,80.2 %RH,100.0 %RH,5.1 °C,14.8 °C
7/18/2020,2.5 °C,23.2 °C,48.3 %RH,100.0 %RH,2.5 °C,14.9 °C
7/19/2020,3.9 °C,22.8 °C,62.8 %RH,100.0 %RH,3.9 °C,15.3 °C
