Date,Min,Max,Min,Max,Min,Max
30/10/19,11.5 °C,40.4 °C,1.3 %RH,100.0 %RH,-26.4 °C,29.6 °C
31/10/19,11.0 °C,30.4 °C,0.0 %RH,100.0 %RH,-23.8 °C,26.5 °C
1/11/19,8.2 °C,30.4 °C,0.0 %RH,100.0 %RH,-33.6 °C,26.0 °C
2/11/19,7.8 °C,40.9 °C,0.0 %RH,100.0 %RH,-38.4 °C,34.3 °C
3/11/19,7.2 °C,41.2 °C,0.0 %RH,100.0 %RH,-42.5 °C,38.1 °C
4/11/19,9.3 °C,47.1 °C,0.0 %RH,100.0 %RH,-37.1 °C,45.6 °C
5/11/19,9.5 °C,45.0 °C,0.0 %RH,100.0 %RH,-38.1 °C,44.1 °C
6/11/19,11.7 °C,44.2 °C,0.0 %RH,100.0 %RH,-18.8 °C,42.5 °C
7/11/19,10.6 °C,45.5 °C,0.0 %RH,100.0 %RH,-33.6 °C,45.3 °C
8/11/19,17.1 °C,47.1 °C,0.0 %RH,100.0 %RH,-13.9 °C,46.2 °C
9/11/19,19.7 °C,51.7 °C,0.0 %RH,100.0 %RH,-3.1 °C,48.6 °C
10/11/19,15.7 °C,44.3 °C,1.7 %RH,100.0 %RH,-21.6 °C,42.5 °C
11/11/19,11.0 °C,45.6 °C,0.0 %RH,100.0 %RH,-32.5 °C,45.6 °C
12/11/19,19.7 °C,42.6 °C,0.0 %RH,100.0 %RH,10.1 °C,39.5 °C
13/11/19,18.8 °C,48.5 °C,0.0 %RH,100.0 %RH,-4.1 °C,48.5 °C
14/11/19,18.4 °C,52.9 °C,0.0 %RH,100.0 %RH,-6.0 °C,39.9 °C
15/11/19,17.1 °C,55.0 °C,0.0 %RH,100.0 %RH,-8.7 °C,46.3 °C
16/11/19,16.4 °C,55.9 °C,0.0 %RH,100.0 %RH,-1.1 °C,41.6 °C
17/11/19,17.2 °C,54.6 °C,0.0 %RH,100.0 %RH,-20.9 °C,45.6 °C
18/11/19,15.3 °C,54.6 °C,0.0 %RH,100.0 %RH,-6.8 °C,40.7 °C
19/11/19,14.9 °C,44.1 °C,0.0 %RH,87.6 %RH,-19.9 °C,35.5 °C
20/11/19,11.5 °C,37.9 °C,0.0 %RH,100.0 %RH,-42.5 °C,31.3 °C
21/11/19,6.0 °C,42.3 °C,0.0 %RH,100.0 %RH,-27.3 °C,38.4 °C
22/11/19,10.6 °C,47.8 °C,0.0 %RH,100.0 %RH,-42.5 °C,43.1 °C
23/11/19,12.7 °C,48.2 °C,4.0 %RH,100.0 %RH,-20.7 °C,47.4 °C
24/11/19,13.9 °C,47.6 °C,0.0 %RH,99.8 %RH,-13.3 °C,46.5 °C
25/11/19,14.5 °C,45.4 °C,0.0 %RH,100.0 %RH,-10.3 °C,40.6 °C
26/11/19,14.6 °C,49.5 °C,0.0 %RH,100.0 %RH,-9.9 °C,49.5 °C
27/11/19,13.9 °C,52.7 °C,0.0 %RH,100.0 %RH,-13.3 °C,47.7 °C
28/11/19,17.3 °C,44.3 °C,0.0 %RH,100.0 %RH,-8.7 °C,38.4 °C
29/11/19,12.6 °C,36.8 °C,0.0 %RH,100.0 %RH,-27.3 °C,34.0 °C
30/11/19,12.9 °C,41.3 °C,0.0 %RH,100.0 %RH,-26.6 °C,32.0 °C
1/12/19,14.1 °C,44.2 °C,0.0 %RH,96.2 %RH,-19.1 °C,38.0 °C
2/12/19,16.8 °C,50.4 °C,0.0 %RH,100.0 %RH,-3.2 °C,49.0 °C
3/12/19,20.6 °C,56.0 °C,0.0 %RH,100.0 %RH,7.4 °C,49.1 °C
4/12/19,17.9 °C,58.9 °C,0.0 %RH,100.0 %RH,0.6 °C,42.7 °C
5/12/19,18.1 °C,58.8 °C,0.0 %RH,100.0 %RH,-0.9 °C,37.2 °C
6/12/19,21.8 °C,57.3 °C,0.0 %RH,100.0 %RH,11.2 °C,49.0 °C
7/12/19,15.1 °C,49.4 °C,0.0 %RH,81.8 %RH,-12.5 °C,37.7 °C
8/12/19,9.8 °C,43.3 °C,0.0 %RH,100.0 %RH,-27.9 °C,37.1 °C
9/12/19,12.5 °C,46.3 °C,0.0 %RH,95.9 %RH,-36.6 °C,39.4 °C
10/12/19,17.6 °C,52.9 °C,0.0 %RH,100.0 %RH,-5.5 °C,48.8 °C
11/12/19,22.6 °C,52.7 °C,0.0 %RH,100.0 %RH,-23.0 °C,47.7 °C
12/12/19,22.8 °C,51.6 °C,0.0 %RH,100.0 %RH,3.0 °C,49.8 °C
13/12/19,21.6 °C,53.8 °C,0.0 %RH,100.0 %RH,-0.1 °C,49.9 °C
14/12/19,15.2 °C,57.0 °C,0.0 %RH,100.0 %RH,-20.2 °C,45.7 °C
15/12/19,21.3 °C,60.6 °C,0.0 %RH,100.0 %RH,-10.2 °C,36.1 °C
16/12/19,17.6 °C,51.7 °C,0.0 %RH,100.0 %RH,-5.9 °C,48.9 °C
17/12/19,18.4 °C,53.3 °C,0.0 %RH,100.0 %RH,-4.1 °C,38.6 °C
18/12/19,17.5 °C,54.6 °C,0.0 %RH,100.0 %RH,-8.8 °C,46.6 °C
19/12/19,15.5 °C,43.3 °C,0.0 %RH,100.0 %RH,-24.0 °C,33.2 °C
20/12/19,8.9 °C,43.8 °C,0.0 %RH,100.0 %RH,-24.0 °C,36.4 °C
21/12/19,14.2 °C,55.3 °C,0.0 %RH,100.0 %RH,-30.4 °C,48.2 °C
22/12/19,16.9 °C,49.6 °C,0.0 %RH,100.0 %RH,-14.5 °C,43.5 °C
23/12/19,15.0 °C,54.8 °C,0.0 %RH,96.6 %RH,-40.3 °C,43.4 °C
24/12/19,16.0 °C,55.1 °C,0.0 %RH,100.0 %RH,-22.2 °C,49.9 °C
25/12/19,23.0 °C,54.7 °C,0.0 %RH,99.1 %RH,-10.1 °C,37.6 °C
26/12/19,18.5 °C,58.6 °C,0.0 %RH,100.0 %RH,-6.7 °C,49.2 °C
27/12/19,15.7 °C,49.6 °C,0.0 %RH,84.6 %RH,-30.1 °C,39.6 °C
28/12/19,13.9 °C,51.1 °C,0.0 %RH,100.0 %RH,-26.8 °C,43.7 °C
29/12/19,13.8 °C,48.0 °C,0.0 %RH,100.0 %RH,-29.1 °C,38.7 °C
30/12/19,14.6 °C,43.1 °C,0.0 %RH,100.0 %RH,-38.1 °C,39.4 °C
31/12/19,11.7 °C,48.1 °C,0.0 %RH,100.0 %RH,-22.6 °C,40.2 °C
1/1/20,16.3 °C,54.7 °C,0.0 %RH,100.0 %RH,-34.8 °C,48.0 °C
2/1/20,14.9 °C,44.2 °C,0.0 %RH,100.0 %RH,-25.2 °C,40.3 °C
3/1/20,12.2 °C,37.6 °C,0.0 %RH,100.0 %RH,-32.4 °C,37.6 °C
4/1/20,11.6 °C,39.2 °C,0.0 %RH,100.0 %RH,-22.7 °C,36.7 °C
5/1/20,16.8 °C,48.5 °C,0.2 %RH,100.0 %RH,-32.2 °C,41.7 °C
6/1/20,17.2 °C,55.1 °C,2.0 %RH,100.0 %RH,-20.4 °C,48.1 °C
7/1/20,16.4 °C,55.9 °C,0.0 %RH,100.0 %RH,-36.1 °C,46.4 °C
8/1/20,16.2 °C,52.9 °C,0.0 %RH,100.0 %RH,-27.0 °C,44.8 °C
9/1/20,16.2 °C,44.3 °C,0.0 %RH,100.0 %RH,-33.2 °C,37.5 °C
10/1/20,17.1 °C,43.3 °C,0.0 %RH,100.0 %RH,-30.9 °C,36.6 °C
11/1/20,18.9 °C,45.8 °C,0.0 %RH,100.0 %RH,-11.6 °C,38.2 °C
12/1/20,20.5 °C,51.2 °C,0.0 %RH,100.0 %RH,-16.2 °C,42.8 °C
13/1/20,20.7 °C,53.5 °C,0.0 %RH,100.0 %RH,-2.0 °C,46.5 °C
14/1/20,26.2 °C,57.9 °C,0.0 %RH,100.0 %RH,12.7 °C,46.5 °C
15/1/20,25.5 °C,55.0 °C,0.0 %RH,100.0 %RH,15.1 °C,44.6 °C
16/1/20,25.2 °C,56.6 °C,0.0 %RH,100.0 %RH,-0.5 °C,41.3 °C
17/1/20,21.5 °C,51.4 °C,0.0 %RH,88.6 %RH,-1.1 °C,41.3 °C
18/1/20,18.2 °C,47.0 °C,0.0 %RH,85.8 %RH,-16.6 °C,33.8 °C
19/1/20,19.7 °C,46.0 °C,0.9 %RH,100.0 %RH,-7.4 °C,39.1 °C
20/1/20,19.8 °C,57.6 °C,0.0 %RH,85.5 %RH,-5.3 °C,42.7 °C
21/1/20,15.8 °C,45.1 °C,0.0 %RH,100.0 %RH,-35.7 °C,37.9 °C
22/1/20,13.7 °C,41.4 °C,0.0 %RH,100.0 %RH,-22.3 °C,39.1 °C
23/1/20,14.7 °C,45.2 °C,0.0 %RH,100.0 %RH,-38.1 °C,38.8 °C
24/1/20,12.8 °C,51.2 °C,0.0 %RH,100.0 %RH,-22.8 °C,42.2 °C
25/1/20,16.3 °C,54.9 °C,0.0 %RH,100.0 %RH,-27.4 °C,44.4 °C
26/1/20,16.8 °C,56.8 °C,0.0 %RH,100.0 %RH,-14.6 °C,47.4 °C
27/1/20,21.5 °C,58.9 °C,0.0 %RH,100.0 %RH,-12.9 °C,38.9 °C
28/1/20,21.5 °C,59.3 °C,13.7 %RH,100.0 %RH,0.6 °C,47.0 °C
29/1/20,16.5 °C,50.4 °C,0.0 %RH,100.0 %RH,-35.5 °C,39.2 °C
30/1/20,15.6 °C,42.1 °C,0.0 %RH,100.0 %RH,-30.5 °C,39.4 °C
31/1/20,9.9 °C,40.2 °C,0.0 %RH,100.0 %RH,-13.7 °C,39.6 °C
1/2/20,12.4 °C,42.3 °C,0.0 %RH,100.0 %RH,-8.2 °C,35.4 °C
2/2/20,20.7 °C,47.0 °C,0.0 %RH,100.0 %RH,-15.5 °C,39.2 °C
3/2/20,25.8 °C,51.9 °C,0.0 %RH,100.0 %RH,6.2 °C,47.6 °C
4/2/20,25.9 °C,56.5 °C,0.0 %RH,100.0 %RH,0.4 °C,39.7 °C
5/2/20,20.8 °C,56.9 °C,9.9 %RH,100.0 %RH,-1.0 °C,41.8 °C
6/2/20,20.9 °C,55.9 °C,0.0 %RH,96.6 %RH,-0.4 °C,33.1 °C
7/2/20,18.9 °C,56.1 °C,11.6 %RH,100.0 %RH,-10.9 °C,43.0 °C
8/2/20,21.4 °C,55.5 °C,0.0 %RH,100.0 %RH,0.8 °C,43.1 °C
9/2/20,17.2 °C,44.7 °C,1.5 %RH,100.0 %RH,-35.6 °C,39.3 °C
10/2/20,19.1 °C,45.6 °C,0.0 %RH,95.6 %RH,-14.9 °C,35.8 °C
11/2/20,22.4 °C,40.9 °C,0.0 %RH,100.0 %RH,-5.6 °C,33.3 °C
12/2/20,18.0 °C,49.2 °C,0.9 %RH,100.0 %RH,-31.4 °C,47.2 °C
13/2/20,25.5 °C,47.3 °C,4.4 %RH,100.0 %RH,-8.5 °C,39.1 °C
14/2/20,20.6 °C,54.0 °C,0.0 %RH,100.0 %RH,-2.4 °C,42.7 °C
15/2/20,20.3 °C,46.3 °C,0.0 %RH,100.0 %RH,-3.5 °C,38.4 °C
16/2/20,18.0 °C,43.0 °C,0.0 %RH,100.0 %RH,-17.9 °C,33.3 °C
17/2/20,15.8 °C,45.9 °C,0.0 %RH,100.0 %RH,-29.2 °C,41.4 °C
18/2/20,22.1 °C,44.8 °C,0.0 %RH,100.0 %RH,-7.6 °C,35.7 °C
19/2/20,20.6 °C,45.5 °C,0.0 %RH,100.0 %RH,1.7 °C,38.6 °C
20/2/20,20.4 °C,40.3 °C,0.0 %RH,100.0 %RH,-22.2 °C,32.2 °C
21/2/20,20.3 °C,45.0 °C,0.0 %RH,100.0 %RH,-13.1 °C,34.7 °C
22/2/20,19.2 °C,27.7 °C,0.0 %RH,100.0 %RH,-9.4 °C,27.7 °C
23/2/20,17.8 °C,41.1 °C,0.0 %RH,100.0 %RH,-11.3 °C,34.0 °C
24/2/20,21.1 °C,46.4 °C,0.0 %RH,100.0 %RH,5.9 °C,41.3 °C
25/2/20,21.4 °C,48.2 °C,0.0 %RH,100.0 %RH,7.0 °C,46.6 °C
26/2/20,21.5 °C,31.6 °C,0.0 %RH,100.0 %RH,11.1 °C,31.6 °C
27/2/20,21.4 °C,41.0 °C,0.0 %RH,94.6 %RH,-10.8 °C,29.2 °C
28/2/20,20.5 °C,44.6 °C,0.0 %RH,100.0 %RH,6.1 °C,35.7 °C
29/2/20,20.2 °C,41.4 °C,0.0 %RH,100.0 %RH,-5.2 °C,32.6 °C
1/3/20,17.3 °C,39.2 °C,0.0 %RH,100.0 %RH,-2.6 °C,30.8 °C
2/3/20,18.6 °C,36.1 °C,0.0 %RH,100.0 %RH,-18.1 °C,30.4 °C
3/3/20,17.5 °C,43.8 °C,0.0 %RH,92.7 %RH,-3.5 °C,35.8 °C
4/3/20,18.0 °C,47.0 °C,0.0 %RH,100.0 %RH,-6.3 °C,43.7 °C
5/3/20,18.8 °C,50.1 °C,0.0 %RH,100.0 %RH,3.1 °C,47.1 °C
6/3/20,16.9 °C,39.1 °C,0.0 %RH,100.0 %RH,-5.0 °C,31.4 °C
7/3/20,14.2 °C,40.7 °C,6.0 %RH,100.0 %RH,-20.0 °C,31.7 °C
8/3/20,16.0 °C,44.2 °C,0.0 %RH,92.7 %RH,-8.7 °C,36.3 °C
9/3/20,19.4 °C,48.1 °C,0.0 %RH,100.0 %RH,-3.8 °C,46.0 °C
10/3/20,20.5 °C,49.0 °C,0.0 %RH,100.0 %RH,7.2 °C,48.2 °C
11/3/20,20.9 °C,50.3 °C,0.0 %RH,95.6 %RH,7.7 °C,47.7 °C
12/3/20,17.0 °C,44.8 °C,0.0 %RH,100.0 %RH,-6.2 °C,36.3 °C
13/3/20,22.1 °C,30.7 °C,49.4 %RH,100.0 %RH,11.1 °C,30.7 °C
14/3/20,19.6 °C,35.5 °C,0.2 %RH,100.0 %RH,11.1 °C,31.4 °C
15/3/20,19.0 °C,39.2 °C,0.0 %RH,100.0 %RH,-16.5 °C,29.8 °C
16/3/20,16.2 °C,37.5 °C,0.0 %RH,100.0 %RH,-28.5 °C,29.6 °C
17/3/20,16.7 °C,25.4 °C,18.4 %RH,67.4 %RH,-7.3 °C,18.9 °C
18/3/20,11.9 °C,36.2 °C,0.0 %RH,100.0 %RH,-25.0 °C,31.1 °C
19/3/20,14.2 °C,40.8 °C,0.0 %RH,95.6 %RH,-36.0 °C,27.1 °C
20/3/20,18.4 °C,43.5 °C,0.0 %RH,100.0 %RH,0.3 °C,31.6 °C
21/3/20,18.6 °C,47.0 °C,0.0 %RH,100.0 %RH,-15.8 °C,38.7 °C
22/3/20,17.6 °C,40.8 °C,0.0 %RH,100.0 %RH,-9.8 °C,29.9 °C
23/3/20,18.4 °C,41.1 °C,3.5 %RH,100.0 %RH,-14.0 °C,31.3 °C
24/3/20,19.4 °C,44.6 °C,0.0 %RH,100.0 %RH,-0.5 °C,37.4 °C
25/3/20,21.5 °C,45.6 °C,0.0 %RH,100.0 %RH,-11.8 °C,36.4 °C
26/3/20,18.2 °C,50.4 °C,1.5 %RH,100.0 %RH,-24.6 °C,44.0 °C
27/3/20,18.4 °C,44.5 °C,0.0 %RH,100.0 %RH,-2.3 °C,31.7 °C
28/3/20,15.3 °C,32.3 °C,0.0 %RH,100.0 %RH,-18.8 °C,32.3 °C
29/3/20,14.8 °C,34.7 °C,0.0 %RH,100.0 %RH,-40.1 °C,32.4 °C
30/3/20,10.7 °C,39.0 °C,0.0 %RH,100.0 %RH,-28.4 °C,32.5 °C
31/3/20,10.8 °C,37.0 °C,0.0 %RH,100.0 %RH,-26.4 °C,32.0 °C
1/4/20,13.1 °C,41.8 °C,0.0 %RH,100.0 %RH,-22.1 °C,31.2 °C
2/4/20,16.1 °C,34.9 °C,0.0 %RH,100.0 %RH,-16.6 °C,33.1 °C
3/4/20,10.9 °C,33.8 °C,0.0 %RH,100.0 %RH,-28.3 °C,31.1 °C
4/4/20,11.6 °C,38.7 °C,0.0 %RH,100.0 %RH,-31.5 °C,31.8 °C
5/4/20,15.5 °C,40.1 °C,0.0 %RH,100.0 %RH,-18.0 °C,31.2 °C
6/4/20,11.0 °C,43.0 °C,0.0 %RH,100.0 %RH,-29.2 °C,32.3 °C
7/4/20,17.8 °C,43.1 °C,0.0 %RH,100.0 %RH,-14.1 °C,32.9 °C
8/4/20,18.6 °C,45.7 °C,0.0 %RH,100.0 %RH,-2.4 °C,34.4 °C
9/4/20,15.6 °C,47.0 °C,0.0 %RH,100.0 %RH,-20.4 °C,38.8 °C
10/4/20,15.7 °C,47.4 °C,1.1 %RH,99.5 %RH,-26.5 °C,41.8 °C
11/4/20,15.1 °C,48.1 °C,0.0 %RH,100.0 %RH,-26.9 °C,42.3 °C
12/4/20,15.0 °C,43.4 °C,0.0 %RH,100.0 %RH,-37.0 °C,33.5 °C
13/4/20,17.8 °C,39.8 °C,0.0 %RH,100.0 %RH,-20.3 °C,31.0 °C
14/4/20,15.0 °C,38.0 °C,0.0 %RH,100.0 %RH,-40.4 °C,33.8 °C
15/4/20,12.5 °C,32.6 °C,0.0 %RH,100.0 %RH,-35.5 °C,31.6 °C
16/4/20,10.4 °C,35.6 °C,0.0 %RH,100.0 %RH,-35.5 °C,30.2 °C
17/4/20,16.2 °C,42.3 °C,0.0 %RH,100.0 %RH,-20.2 °C,31.0 °C
18/4/20,20.1 °C,43.4 °C,5.3 %RH,100.0 %RH,-7.8 °C,33.0 °C
